"id","question","answer"
1,"The trainer seemed knowledgeable of the training area.","2"
2,"The trainer presented the contents well.","4"
3,"The trainer was able to engage with the participants to make the session interactive and interesting.","3"
4,"The training has enabled me to put my learning into practice now or will be able to use my learning in the future.","5"
5,"Content was easy to understand and inline with my expectations from the session.","4"
6,"I would recommend this course to other team members.","5"
7,"The training started at the scheduled time?","Yes"
8,"I was given enough notification for the training to plan my product tasks accordingly?","Yes"
9,"The training was conducted in a conducive and well-equipped environment?","Yes"
10,"What is at least one learning that you can take from this session?","sdhgsd sdfjhsdkf dsf sdfvsaosfosdf sd"
11,"How can this training be further improved for better results – give at least 1 recommendation.","dsfdfv fdskfvdsfdv sfsdfvds vsavasfsdfkdsfdvds"
12,"Do you have any other feedback for improvement?","yes"
13,"Overall Rating","5"
